Income range,Households,Percent,Percentile,Earners,Housesize
"Under $5,000","4,261",3.52%,,0.23,2.02,,
"$5,000 to $9,999","4,972",4.11%,3.52%,0.36,1.81,,
"$10,000 to $14,999","7,127",5.89%,7.63%,0.42,1.74,,
"$15,000 to $19,999","6,882",5.68%,13.51%,0.57,1.96,,
"$20,000 to $24,999","7,095",5.86%,19.19%,0.75,2.14,,
"$25,000 to $29,999","6,591",5.44%,25.05%,0.85,2.22,,
"$30,000 to $34,999","6,667",5.51%,30.50%,0.97,2.34,,
"$35,000 to $39,999","6,136",5.07%,36.00%,1.06,2.41,,
"$40,000 to $44,999","5,795",4.79%,41.07%,1.2,2.46,,
"$45,000 to $49,999","4,945",4.08%,45.86%,1.32,2.55,,
"$50,000 to $54,999","5,170",4.27%,49.94%,1.32,2.52,,
"$55,000 to $59,999","4,250",3.51%,54.21%,1.49,2.72,,
"$60,000 to $64,999","4,432",3.66%,57.72%,1.49,2.66,,
"$65,000 to $69,999","3,836",3.17%,61.38%,1.58,2.75,,
"$70,000 to $74,999","3,606",2.98%,64.55%,1.63,2.82,,
"$75,000 to $79,999","3,452",2.85%,67.53%,1.7,2.89,,
"$80,000 to $84,999","3,036",2.51%,70.38%,1.73,2.86,,
"$85,000 to $89,999","2,566",2.12%,72.89%,1.8,3,,
"$90,000 to $94,999","2,594",2.14%,75.00%,1.79,2.96,,
"$95,000 to $99,999","2,251",1.86%,77.15%,1.87,3.09,,
"$100,000 to $104,999","2,527",2.09%,79.01%,1.78,2.94,,
"$105,000 to $109,999","1,771",1.46%,81.09%,2.01,3.18,,
"$110,000 to $114,999","1,723",1.42%,82.56%,1.96,3.11,,
"$115,000 to $119,999","1,569",1.30%,83.98%,1.98,3.06,,
"$120,000 to $124,999","1,540",1.27%,85.27%,2.01,3.16,,
"$125,000 to $129,999","1,258",1.04%,86.55%,1.97,3.08,,
"$130,000 to $134,999","1,211",1.00%,87.59%,2,3.17,,
"$135,000 to $139,999",918,0.76%,88.59%,2.1,3.18,,
"$140,000 to $144,999","1,031",0.85%,89.34%,2.12,3.26,,
"$145,000 to $149,999",893,0.74%,90.20%,2.11,3.21,,
"$150,000 to $154,999","1,166",0.96%,90.93%,1.86,3.09,,
"$155,000 to $159,999",740,0.61%,91.90%,2.04,3.11,,
"$160,000 to $164,999",697,0.58%,92.51%,2.05,3.29,,
"$165,000 to $169,999",610,0.50%,93.08%,2.15,3.17,,
"$170,000 to $174,999",617,0.51%,93.59%,1.99,3.05,,
"$175,000 to $179,999",530,0.44%,94.10%,2.09,3.08,,
"$180,000 to $184,999",460,0.38%,94.53%,2.12,3.28,,
"$185,000 to $189,999",363,0.30%,94.91%,2.3,3.32,,
"$190,000 to $194,999",380,0.31%,95.21%,2.22,3.17,,
"$195,000 to $199,999",312,0.26%,95.53%,2.3,3.28,,
"$200,000 to $249,999","2,297",1.90%,95.78%,2.06,3.24,,
"$250,000 and over","2,808",2.32%,97.68%,ca. 2,ca. 3,,
